Conversation.json#dialog
测试物品获得|Test Items Acquired
欢迎大人，您需要什么类型的马呢？|Welcome sir, what type of horse do you need?
良马与劣马自然价位不同，这是可供您挑选的马。|Good horses and bad horses naturally have different prices, and these are the horses you can choose from.
听闻有人在某处亲眼目睹到了传说马匹。|I heard that someone saw the legendary horse somewhere.
这里衣装品种繁多，大人有什么事吗？|There are many kinds of clothes here. Is there anything I can help you with, sir?
这些是可供您选购的布衣。|These are the cloth clothes that are available for you to purchase.
听闻有人在某处亲眼目睹到了传说布衣。|I heard that someone witnessed the legendary commoner somewhere.
ABC大人，不知来鄙人私塾，是有何贵干呢。|Mr. ABC, I wonder what brings you to my private school.
请大人决定您欲掌握的学识方向是。|Please decide what direction of knowledge you would like to acquire.
大人是否需要鄙人为您说明个人属性的作用呢？|Sir, do you need me to explain to you the role of personal attributes?
所谓统帅、武力、智略、政略、魅力、意志，涵盖了一个人能力的全部的方向。|The so-called command, military force, wisdom, strategy, charm, and will cover all aspects of a person's abilities.
若大人心中早已定下目标，请务必注意提升您所需的属性，提前为大业开拓道路才可。|If you have already set a goal in mind, please be sure to pay attention to improving the attributes you need and pave the way for your great cause in advance.
另外智略属性不容小觑，智略可在多种场合下为您提供意外的便利，请您留意。|In addition, the attribute of wisdom and strategy should not be underestimated. Wisdom and strategy can provide you with unexpected convenience in many situations, so please pay attention.
了然，您若在日后出现新的困扰，方可再寻鄙人解惑便可。|I understand. If you have new troubles in the future, you can come to me for help.
ABC大人，您也是来此受教的吗？|Mr. ABC, are you here to learn too?
若能熟读《吕氏春秋》，可对您的统帅、武力、智略带来可观的提升。|If you can read "Lüshi Chunqiu" carefully, it can bring considerable improvement to your command, military power and wisdom.
《吴普本草》的知识要点若可掌握，则能对意志带来惊人的提升。|If the key points of knowledge in "Wu Pu's Materia Medica" can be mastered, it can bring an amazing improvement to one's will.
即使是手抄版的《太公》，也可同时带来统帅、智略、政略三个方面的提升，真是本奇书啊。|Even a handwritten version of "Tai Gong" can bring about improvements in the three aspects of command, wisdom, and political strategy. It is really a wonderful book.
若在敌人的强势技能持续时间内，不妨先施放一些防御性的技能来寻找反攻时机。|If the enemy's powerful skills are still in effect, you may want to cast some defensive skills first to find an opportunity to counterattack.
提升士气类技能须注意施放时机，尤为在面对强敌情况下，保持士气更为重要。|When using skills to improve morale, you must pay attention to the timing of casting, especially when facing a strong enemy, it is even more important to maintain morale.
大人您需要什么药呢。|Sir, what medicine do you need?
这些是本店当前的所有药品。|These are all the medicines currently in stock at this store.
所谓是药三分毒，望大人留意剂量，切勿过度依赖药品效果，适得其反。|As the saying goes, every medicine is poisonous to some extent. I hope you will pay attention to the dosage and do not over-rely on the effects of the medicine, which will be counterproductive.
您身上有不适的感受都可以直述于我。|You can tell me directly if you feel uncomfortable.
大人您稍作安息，让老朽为您进行医治。|My lord, please take a rest and let me treat you.
若您有恶疾缠身，请务必前来医治，切忌耽搁时辰。|If you are suffering from a serious illness, please come for treatment and do not delay.
夫君，您有什么事情吗？|Husband, is there anything I can help you with?
夫人今日姿色悠融、目若秋水，与我连理，属实我的福分。|My wife is so beautiful and has such clear eyes today. It is my blessing to be married to me.
大人真是会说话，和大人今后的日子妾身也十分期待呢。|My lord, you are really good at talking. I am looking forward to the future with you.
夫君还有其他事情吗？|Is there anything else, my husband?
劳烦夫人帮我按摩解乏了。|Madam, please give me a massage to relieve my fatigue.
呵呵，身为人妻，这是我分内之事，夫君不必多礼。|Haha, as a wife, this is my job, so my husband doesn’t need to be so polite.
夫人此时可否与我共度良时美景呢。|Madam, can you please share this beautiful moment with me?
嗯…你我既是夫妻，不必拘束。|Well... since you and I are husband and wife, there is no need to be restrained.
和夫人共枕，实乃天伦之乐。|Sharing a bed with my wife is truly a family joy.
呵呵夫君言过了，但妾身也非常享受与夫君共进欢愉之事呢。|Haha, my husband has said too much, but I also very much enjoy sharing pleasure with you.
哦？ABC打算送ME什么呢？|Oh? What does ABC plan to give ME?
能得夫人一人，是在下的福分。|It is my blessing to have a wife like you.
夫君不必客气，能遇到夫君也是妾身的福分。|My dear husband, you don’t have to be polite. It is my blessing to meet you.
ABC大人，您有什么吩咐吗？|Sir ABC, do you have any instructions?
您要传唤哪位夫人呢？|Which lady do you want to summon?
近日夫人们相处融洽，一切安好，请大人放心。|The ladies have been getting along well these days and everything is fine, so please rest assured.
大人，你想安排什么事宜呢。|My lord, what do you want to arrange?
请将您想存入钱财的数量告知于我。|Please let me know the amount of money you would like to deposit.
您想将府邸迁移至何处呢？|Where would you like to move your mansion?
府内一切安好，请您放心，任何突发事情我会第一时间通知您。|Everything is fine in the mansion, please rest assured, I will inform you as soon as possible if there is any emergency.
近日附近可还太平？|Is things peaceful around here these days?
近日来往客官繁多，生意依然兴隆。|There have been many visitors recently and business is still booming.
大人，您有其他需求可以直接找我们的掌柜。|Sir, if you have any other needs, you can directly contact our shopkeeper.
刚好在下今日有美酒若干，不知可否与阁下一同畅饮？|It just so happens that I have some fine wine today. I wonder if I could drink with you?
与ABC大人饮酒，好不快哉。|It’s such a pleasure to drink with Mr. ABC.
这位兄台，在下有一些美酒想共饮一番，顺便向兄台打听消息一二，这位兄台意下如何？|My dear brother, I have some good wine that I would like to drink with you, and also to ask you for some information. What do you think?
岂有拒绝美酒之理，大人，请。|How can I refuse good wine, sir? Please.
你特么不想请就算了，炫耀个蛋蛋。|If you don't want to treat me, then forget it, just show off your balls.
喝了两天两夜，太爽了。|I drank for two days and two nights, it was so great.
哦？NI想要送WO什么呢？|Oh? What do you want to give me?
这.....这太珍贵了！NI真要送给WO吗？|This.....this is so precious! Do you really want to give it to me?
那是当然了！|Of course!
（一脸惊喜的样子）那WO就收下了，感激不尽！|(Looks surprised) I’ll accept it then. Thank you very much!
NMING的互动值提高了40点。|NMING's interaction value increased by 40 points.
真是不错的礼物呢！谢谢啦！|What a great gift! Thank you!
与NMING的互动值提高了20点。|The interaction value with NMING increased by 20 points.
喝酒？好啊。NI有带来什么好酒吗？|Drink? Sure. Did you bring any good wine?
这.......世上竟有这么美味的酒！|This...there is such delicious wine in the world!
NI还满意吗？|Are you satisfied with NI?
简直太是太满意了！谢谢NI啦！|I am so satisfied! Thank you NI!
与NMING的互动值大幅提高了！|The interaction value with NMING has been greatly improved!
额，怎么感觉有点晕，这......这酒有些上头。|Uh, why do I feel a little dizzy? This... this wine is a bit intoxicating.
这么说来，我突然也感觉有点不舒服。|Having said that, I suddenly feel a little uncomfortable.
（NMING的脸色很难看）额......呕，WO.......WO不行了，咱们改日再续吧。|(NMING’s face looks ugly) Uh... uh, WO... WO can’t do it anymore, let’s continue it another day.
NMING明显不太舒服，狼狈地走了。|NMING was obviously not feeling well and walked away in embarrassment.
哎，好久没喝酒了。每次路过酒馆时都有些嘴馋。|Oh, I haven't had a drink in a long time. Every time I pass by a bar, I feel a little greedy.
这乱世太残酷，如果没有酒，WO简直难以想象明天该怎么活下去。|This chaotic world is too cruel. Without wine, WO can hardly imagine how to survive tomorrow.
这世道太乱，真的不知道什么时候是个头......|This world is so chaotic, I really don't know when it will end...
NI今日有何许事情呢？|What is going on with NI today?
路过此地，心想拜访NI。|Passing by here, I wanted to visit NI.
幸会幸会。|Nice to meet you. Nice to meet you.
WO有一物送予NI。|WO has something for NI.
感谢NI的馈赠，感激不尽。|Thank you NI for the gift, I am grateful.
NI可知CITY的名士NMING是何许人也？|NI do you know who is the CITY celebrity NMING?
WO乃隐居于世的匹夫，不喜来往，平日便在阅读古今书卷，耕田犁地罢了。|WO is a man who lives in seclusion from the world and does not like to socialize. He usually spends his days reading ancient and modern books and plowing the fields.
NI可否相助于WO呢？|Can NI help WO?
切勿见外，我将助NI一臂之力。|Don't be shy, I'll lend you a helping hand.
请问NI想存放多少银两呢？|How much silver do you want to deposit?
NI看看，需要点什么。|NI, take a look, what do you need?
承蒙多日照顾，一点心意还望NI收下。|Thank you for your care over the past few days. I hope you will accept this little token of my gratitude.
不知NI可否协助WO前去散播谣言呢。|I wonder if NI can help WO to spread the rumors.
哦？容WO三思一番。|Oh? Let WO think about it.
别来无恙啊。|I hope you are well.
是啊，好久不见，不如坐下长叙一番。|Yes, it’s been a long time since we last met. Why don’t we sit down and have a long chat?
今日天公作美，不如与WO共赴楼宴提笔挥墨，何如？|The weather is nice today, why not go to a banquet with WO and write something?
好！那不如快快动身！|Good! Let’s get going quickly!
一段时间过后，你与NMING一同来到了城内最有名的酒楼，你们登上阁楼，望着街上熙熙攘攘的人群开始饮酒作乐。|After a while, you and NMING came to the most famous restaurant in the city. You went up to the attic, looked at the bustling crowds on the street and started drinking and having fun.
酒过三巡，NMING有些醉了，他起身摇摇晃晃的大喊来些笔墨物件。|After three rounds of drinks, NMING was a little drunk. He stood up and staggered, shouting for some writing materials.
今日难得如此之畅快，WO便借此情此景赋诗一首，且看！|It's rare to feel so happy today, so WO wrote a poem based on this situation. Let's take a look!
看那NMING身体好似醉山倾倒但手腕却意外的有力，紧攥着笔杆挥动，少顷，便见一篇浑然天成的诗文呈现在你眼前。|Look at NMING, his body seems to be drunk but his wrist is surprisingly strong. He holds the pen tightly and waves it. After a while, a natural poem appears before your eyes.
好诗！好诗！NI的诗文果然名不虚传，但WO也不落下风！|Good poem! Good poem! NI's poetry is indeed well-deserved, but WO is not far behind!
说罢，你便提臂挽袖，洋洋洒洒在墙上题下你的诗文。|After saying that, you rolled up your sleeves and wrote your poem on the wall in a very elegant manner.
（自言自语）嗯，NMING的文笔竟如此了的，WO揣摩许久竟无一字欠妥，值得称赞啊！|(Talking to himself) Hmm, NMING's writing style is so good. WO spent a long time pondering it and found not a single word wrong. It is worthy of praise!
NI的才华，当今无人能及，WO实乃钦佩，自愧不如。|NI's talent is unmatched today. WO truly admires him and feels ashamed of himself.
NI过于抬举WO了，不敢称！不敢称啊！|NI is praising WO too much, I dare not say that! I dare not say that!
说罢，你觉得NMING对你的认同又增加了许多。|After saying that, you feel that NMING's recognition of you has increased a lot.
好诗啊！WO从未见过令WO的作品如此无地自容的文章！厉害厉害！|What a great poem! I have never seen an article that puts my work so shamefully to shame! Awesome!
说罢，NMING撕毁了自己的诗文，你觉得NIMNG对你的尊重增加了很多。|After that, NMING tore up his own poem, and you felt that NIMNG's respect for you increased a lot.
......（要使用什么样的话题？）|...(What topic to use?)
哦？是有趣的话题吗？不如我们换个地方详谈。|Oh? Is this an interesting topic? Why don't we talk about it somewhere else?
NI真是有兴致，不过此处略有不便，我们换个地方说...|NI is really interested, but this is a little inconvenient, let's talk about it somewhere else...
如此故事真是令人动容！人生在世，只有在战场策马扬鞭之时，才是我辈最幸福的一刻！真是太感人了！|Such a story is really touching! In life, the happiest moment for us is when we are riding a horse and whipping it on the battlefield! It is so touching!
......(看来CH很钟意这种类型的话题，效果甚佳。）|......(It seems that CH likes this type of topic very much, and the effect is very good.)
嗯，这样的故事听来倒也有趣，受教了。|Well, this story is interesting to hear and I have learned a lot.
......(这类话题想必不会有人反感，但似乎也并不是CH的兴趣所在。）|......(No one would be disgusted by such topics, but it does not seem to be CH's interest.)
哈哈哈，哧溜.....（流口水）|Hahahaha, slurp... (drooling)
啊抱歉抱歉，NI描绘的画面实在诱人，失态了失态了！若NI还有男欢女爱之话题，请务必于WO分享！|Oh sorry sorry, the picture you painted was really tempting, I lost my composure! If you have any more topics about love between men and women, please be sure to share them on WO!
窈窕淑女，君子好逑。有关美女的话题总是令人身心愉悦啊。|A gentleman loves a beautiful lady. The topic of beautiful women always makes people happy.
......(看来CH能接受这种类型的话题）|......(It seems that CH can accept this type of topic)
美女们虽是秀色可餐，但男子汉大丈夫，还是应以家国为重，勿入歧途。|Although beautiful women are delightful to look at, a man should still put his country and family first and not go astray.
......(呵~看TA听得时候聚精会神，最后的效果却似乎并不理想。）|......(Haha~ He seemed to be concentrating while listening, but the final effect didn't seem ideal.)
男欢女爱原本就是天性，即便身为女子，听到这样的话题，说不动心也是假的，还是要感谢NI的分享咯。|Love between men and women is natural. Even as a woman, it would be a lie to say that I am not moved when I hear such a topic. I still have to thank NI for sharing.
这这.....这话题未免太过露骨，NI为何要当面说这些，真是羞死人了！|This, this...this topic is too explicit. Why did NI say this to my face? It's so embarrassing!
......(看起来NI对这样刺激的话题还是有些难以适应啊。）|......(It seems that NI still has some difficulty adapting to such stimulating topics.)
......(气氛又已烘托到此处，倒是个向CH表白的好机会......也许，能让NTA成为WO的地下情人.....）|......(The atmosphere has become so heated, it is a good opportunity to confess to CH... Maybe, NTA can become WO's secret lover...)
NMING起身看了看你的作品，笑而不语。尴尬的度过了几分钟后你找了一个话题把注意力转移走了。过后，你觉得NMING对你的尊重减少了少许。|NMING stood up and looked at your work, smiling but not saying anything. After a few awkward minutes, you found a topic to divert his attention. Afterwards, you felt that NMING's respect for you had decreased a little.
解锁你的好兵。|Unlock your good soldiers.
解锁你的好武。|Unlock your best weapons.
解锁你的好谋。|Unlock your good plan.
解锁你的好酒。|Unlock your wine.
解锁你的厌酒。|Unlock your alcoholism.
解锁你的好色。|Unlock your lust.
解锁你的享乐。|Unlock your enjoyment.
解锁你的好宝物。|Unlock your treasures.
解锁你的好书籍。|Unlock your great books.
解锁你的好马匹。|Unlock your favorite horse.
解锁你的武具。|Unlock your weapons.
解锁你的好奇。|Unlock your curiosity.
解锁你的感恩。|Unlock your gratitude.
解锁你的淡漠。|Unlock your indifference.
解锁你的记仇。|Unlock your grudge.
解锁你的爱才。|Unlock your talents.
解锁你的傲慢。|Unlock your hubris.
解锁你的善妒。|Unlock your jealousy.
解锁你的执着。|Unlock your obsession.
解锁你的随性。|Unlock your spontaneity.
解锁你的浪漫。|Unlock your romance.
解锁你的爱民。|Unlock your beloved people.
解锁你的残忍。|Unlock your cruelty.
解锁你的包容。|Unlock your tolerance.
解锁你的苛刻。|Unlock your harshness.
解锁你的好攻。|Unlock your good attack.
没有可以解锁的了。|There is nothing left to unlock.
注意，下面的目标若仅限于我方非单人情况下的时候|Note that the following objectives are limited to when we are not alone.
需要加额外条件，以免随机出来后无法完成|Additional conditions need to be added to avoid being unable to complete the game after it is randomly generated.
就让WO来为诸位展示一下真正的实力吧。|Let WO show you its true strength.
是时候检验一下队伍的实力了。|It's time to test the strength of the team.
本场战斗就交给他人来发挥吧...|Let others take care of this battle...
本场战斗就交给他人来发挥吧，但自身需要注意规避...|Let others take care of this battle, but you need to be careful to avoid...
恐怕并不是谁都能应付此敌，还是多加留意队中的弱者吧。|I'm afraid not everyone can handle this enemy, so you should pay more attention to the weak ones in the team.
对付这种货色岂能浪费实力。|How can we waste our strength to deal with this kind of people?
保留实力作战吧。|Keep your strength to fight.
各位跟紧我，我来打头阵。|Everyone, follow me closely, I will take the lead.
若能在几回合内击败一人，定能鼓舞我方...|If we can defeat one person in a few rounds, it will surely inspire us...
此番敌人没有那么好解决，战斗中应当相互注意彼此的状态...|This time the enemy is not so easy to deal with, you should pay attention to each other's status during the battle...
只要团结一致，我们必能全身而退...|As long as we unite, we will be able to get out of this...
城外经常有山贼拦路抢劫，最近还抢走了我一批货物，如果你能帮我干掉他们，必有重谢。|There are often bandits outside the city who rob people on the road. Recently, they stole a batch of my goods. If you can help me kill them, I will reward you handsomely.
交给我吧，区区山贼竟敢在我的地盘撒野，我一定把他们通通干掉。|Leave it to me. These bandits dare to run wild in my territory. I will kill them all.
太好了，这个重任就交给你了，25天后我会有一批货物需要运送，请务必在那之前剿灭山贼！|Great, I'll leave this important task to you. I will have a batch of goods to deliver in 25 days, so please make sure to wipe out the bandits before then!
今天没空啊，改天再说吧。|I'm not free today. Let's talk about it another day.
这种地方居然有猎物主动送上门，今天实在是太幸运了。|In a place like this, prey actually came to my doorstep. I am so lucky today.
放你的狗屁，老子就是特地来干掉你的。|Stop talking bullshit, I’m here just to kill you.
今天状态不好，就饶你一命吧。|I'm not in a good mood today, so I'll spare your life.
你匆忙逃命，丢失了一半的钱财...|In your haste to escape, you lost half your money...
这山贼不过尔尔，回PLACE1NAME找SN1MING领取赏金吧。|This bandit is nothing special. Go back to PLACE1NAME and find SN1MING to claim your reward.
干得好，请收下我的心意。|Well done, please accept my appreciation.
WO奉SN1MING委托来教训NI！|WO is commissioned by SN1MING to teach NI a lesson!
唉，冤冤相报何时了，带WO去见见SN1MING让我们把话当面说清楚吧。|Alas, when will the cycle of revenge end? Let’s take WO to meet SN1MING and let’s talk things out face to face.
嗯，那就随WO来吧，解铃还需系铃人。|Well, then let WO do it. The person who tied the bell must be the one to untie it.
SN2MING怎还有脸来见WO！|How dare SN2MING come to see WO!
SN1MING！冷静！且听WO一言再做决定也不迟！|SN1MING! Calm down! It’s not too late to listen to WO before making a decision!
嗯，原来如此，看来的确是WO误会NI了啊！|Hmm, I see. It seems that WO indeed misunderstood NI!
我们险些酿成大祸！多亏了NI扭转了局面啊！|We almost had a disaster! Thanks to NI, we saved the situation!
多说无益！WO今日必定替SN1MING教训NI！|There is no point in talking any more! WO will definitely teach NI a lesson on behalf of SN1MING today!
那就动手吧！|Let’s get started!
就这两下子还扬言替人报仇，真是可笑。|It's ridiculous that he claims to avenge others with just these two tricks.
WO有个仇人，NI可一定要帮我报仇啊！|WO has an enemy, NI must help me get revenge!
WO已经教训了SN2MING。|WO has already taught SN2MING a lesson.
干得不错，这是NI的额外报酬。|Good job, this is extra compensation from NI.
NI且附耳过来，那人是...|NI, come closer and listen, that person is...
好汉饶命！WO向SN1MING赔罪便是！|Please spare my life! WO should apologize to SN1MING!
听说有人最近在发愁，似乎是馋了好酒，NI不如有空去拜访一下？这可是交朋友的好机会啊！|I heard someone is feeling depressed lately, and seems to be craving for good wine. Why don't you visit him/her when you have time? This is a good opportunity to make friends!
嗯，待WO前去会会这位朋友。|Well, I'll go meet this friend later.
你走近SN1MING，听见一阵哀叹。|You approach SN1MING and hear a sigh.
苦啊！苦啊！好些日子没有喝到美酒了，对WO这种嗜酒如命的人来说简直要了我的命啊！|Bitter! Bitter! I haven't had a good drink for a long time. For a person like WO who loves alcohol, this is killing me!
SN1CH何事如此发愁？说来与WO听听。|Why is SN1CH so worried? Tell WO about it.
唉，自从入了这CITY城，WO已经数月没有尝到那杜康酒了，馋到我全身不舒服呀！|Alas, since I came to this CITY, I haven’t tasted Du Kang wine for several months. I’m so craving for it that I feel sick all over!
咦？恰好WO上次遇到有商人在卖杜康酒，待我们下次再见WO为NI带一瓶回来！|Eh? It just so happens that last time WO met a merchant selling Du Kang wine. Next time we meet, WO will bring back a bottle for NI!
若真能如此，便是解我心头之痒啊！|If this is true, it will relieve the itch in my heart!
SN1CH，WO带来了NI要的杜康酒！|SN1CH, WO brought the Du Kang wine you wanted!
如此好酒，真是谢谢NI了，来与WO同饮吧！|Thank you so much for this good wine, let’s drink it with WO!
来吧，我们一起享受这美酒！|Come on, let's enjoy this fine wine together!
唉，现在世道不太平，寻常百姓人家的生活越来越难了啊。|Alas, the world is not peaceful now, and life is becoming increasingly difficult for ordinary people.
何出此言？|Why do you say that?
NI有所不知啊，城中有个老人惹到了当地的流氓，流氓扬言要在几天内回来报复他，听说他就在城里的客栈躲着呢。|NI, you may not know, there is an old man in the city who has offended the local gangsters. The gangsters threatened to come back in a few days to take revenge on him. It is said that he is hiding in the inn in the city.
WO倒要看看那贼徒有什么本事，待WO前往一探究竟！|WO wants to see what the thief is capable of, so WO will go and find out!
终于等到有人来帮帮WO了，WO前些日子不知怎的惹到了那流氓，那流氓便说要找WO的麻烦，吓的WO几天都不敢出家门，英雄可要帮帮WO啊！|Finally someone comes to help WO. WO somehow offended that gangster a few days ago, and that gangster said he wanted to cause trouble for WO. WO was so scared that he didn't dare to leave the house for several days. Heroes, please help WO!
嗯，WO便是为此而来的，待WO在这里瓮中捉鳖！|Well, WO is here for this purpose. Wait for WO to catch the turtle in the jar here!
哈！可算找到NI了，敢在众人面前欺WO，今日定要你好看！|Ha! I finally found you. You dare to bully me in front of everyone. I will teach you a lesson today!
老人莫怕！WOAMING在此，不容恶霸欺凌弱小！|Don’t be afraid, old man! WOAMING is here and will not allow bullies to bully the weak!
哈，竟然还有帮手，那WO可就一网打尽了！|Ha, there is helper. Then WO can catch them all in one fell swoop!
好汉饶命，小的再也不敢了！|Please spare my life, sir. I will never do it again!
多亏了NI啊，不然WO可真的不知道如何是好了。|Thanks to NI, otherwise WO really wouldn’t know what to do.
哈，在WO面前装什么好汉，快滚出去饶你不死！|Ha, why are you pretending to be a hero in front of WO? Get out now and I will spare your life!
世风日下，竟有人在光天化日之下掠人财物，NI能帮帮我吗？|The world is becoming more and more corrupt. Some people are robbing people's property in broad daylight. Can NI help me?
NI放心，交给WO去办，一定还NI一个公道！|Don't worry, leave it to WO and I will definitely give you justice!
好大的胆子，竟敢公然抢夺百姓钱财。|How dare they openly rob people of their money?
你算那根葱，也敢来多管闲事。|Who do you think you are? How dare you meddle in other people’s business?
今天WO就要在这里替天行道，看招。|Today, WO will enforce justice here, watch out.
呼..呼...好汉饶命，我把他的银两给你便是！|Huh... Huh... Good man, please spare my life, and I will give you his silver!
......（顺利拿回钱财了，得快点物归原主。）|...... (I have successfully recovered the money. I must return it to its original owner as soon as possible.)
就这两下子就不要逞英雄了，快点从WO眼前消失。|Don't try to be a hero with just these two moves. Just disappear from WO's sight as soon as possible.
当下正逢乱世，还望NI以后多加小心。|We are living in a turbulent time right now, so I hope you will be more careful in the future.
多谢NI，这部分银两是NI应得的。|Thank you NI, this part of the silver is what NI deserves.
这位大人，WO有急事相求。|Sir, WO has an urgent matter to ask of you.
NI不要慌，出什么事了？|NI, don't panic. What happened?
WO在避难的路上不慎与女儿走失，若NI肯帮WO寻回小女，必有重金相报。|WO accidentally lost his daughter on the way to take refuge. If NI is willing to help WO find his daughter, he will reward her with a large sum of money.
NI不必担心，告知WO方位，WO定将NI女儿找回。|NI don't have to worry, tell WO your location and WO will definitely find NI's daughter.
大人，稍等一下，小女害怕生人，肯定不会轻易跟您走的，届时您只要说...|Sir, please wait a moment. I am afraid of strangers and will not follow you easily. You can just say...
好的，WO已熟记于心，NI稍安勿躁，等WO给NI一个答复。|OK, WO has memorized it. NI, please be patient and wait for WO to give you a reply.
终于找到NI了。|Finally found NI.
呜..你是..你是谁，我在等我娘，我娘说了，不能跟不相识的人走。|Woo...who are you? I'm waiting for my mother. My mother said that I can't go with someone I don't know.
你是不是叫你SN1MING，你娘还说等你回去了，要给你买你最爱的肉蒸饼呢。|Didn’t you call yourself SN1MING? Your mother also said that when you go back, she will buy you your favorite meat steamed bun.
呜呜...娘，SN2MING好想你。|Woohoo...Mom, SN2MING misses you so much.
不要再难过了，WO这就带你去见你娘。|Don’t be sad anymore, WO will take you to see your mother right now.
大人，你终于回来了，怎么样，SN2MING找到了吗？|My lord, you are finally back. How is it? Have you found SN2MING?
NI看看，是谁回来了。|Look, who's back.
（SN2MING缓缓地从你的身后弹出头来。）|(SN2MING slowly pops up from behind you.)
SN2MING！（SN1MING试图掩饰激动的心情。）|SN2MING! (SN1MING tried to hide his excitement.)
还不快谢谢大人！|Why don’t you thank me, sir?
谢谢大人把WO送回WO娘这里。|Thank you, sir, for sending WO back to WO's mother.
诶，不必多礼，看到你们一家团聚了，WO也安下了这颗心了。|Well, no need to be so polite. Seeing your family reunited, WO also feels at ease.
